X,Y,
640.000000,-0.007450,
641.000000,-0.007553,
642.000000,-0.007656,
643.000000,-0.007759,
644.000000,-0.007863,
645.000000,-0.007966,
646.000000,-0.008069,
647.000000,-0.008172,
648.000000,-0.008276,
649.000000,-0.008379,
650.000000,-0.008482,
651.000000,-0.008585,
652.000000,-0.008689,
653.000000,-0.008792,
654.000000,-0.008895,
655.000000,-0.008998,
656.000000,-0.009101,
657.000000,-0.009205,
658.000000,-0.009308,
659.000000,-0.009411,
660.000000,-0.009514,
661.000000,-0.009618,
662.000000,-0.009721,
663.000000,-0.009824,
664.000000,-0.009927,
665.000000,-0.010031,
666.000000,-0.010134,
667.000000,-0.010237,
668.000000,-0.010340,
669.000000,-0.010444,
670.000000,-0.010547,
671.000000,-0.010650,
672.000000,-0.010753,
673.000000,-0.010857,
674.000000,-0.010960,
675.000000,-0.011063,
676.000000,-0.011166,
677.000000,-0.011270,
678.000000,-0.011373,
679.000000,-0.011476,
680.000000,-0.011579,
681.000000,-0.011682,
682.000000,-0.011786,
683.000000,-0.011889,
684.000000,-0.011992,
685.000000,-0.012095,
686.000000,-0.012199,
687.000000,-0.012302,
688.000000,-0.012405,
689.000000,-0.012508,
690.000000,-0.012612,
691.000000,-0.012715,
692.000000,-0.012818,
693.000000,-0.012921,
694.000000,-0.013025,
695.000000,-0.013128,
696.000000,-0.013231,
697.000000,-0.013334,
698.000000,-0.013438,
699.000000,-0.013541,
700.000000,-0.013644,
