,DGS10_70rsi,DGS10_14rsi,DGS10,DGS10_100ema,DGS10_25ema,DGS10_5ema
1966-09-02,0.1920955834507653,-0.018661988383014007,-0.11088742542490035,-0.03379875111212849,0.011984915945483898,0.017163103857620543
1966-09-06,0.162012778530963,-0.08956156242393717,-0.1155250001217363,-0.025573522136912108,0.018586909086462766,0.013551397602023618
1966-09-07,0.16734198898485175,-0.06877249699236415,-0.11436560644752734,-0.02664763254910074,0.01571900324584763,0.005012759752096363
1966-09-08,0.15247118342881322,-0.10553143483773723,-0.11668439379594536,-0.022184977547679674,0.01840844585204504,0.0041720800014639625
1966-09-09,0.1450719264862704,-0.12414770697315618,-0.11784378747015432,-0.019646026417864615,0.019043318629811123,0.0028051005161018328
1966-09-12,0.15060437021157383,-0.09950382809952359,-0.11668439379594536,-0.020884746099932183,0.016017867297811517,9.149298248845028e-05
1966-09-13,0.13569266896681087,-0.14010564457042107,-0.11900318114436328,-0.016517079489171804,0.018607283720768697,0.002351298725155271
1966-09-14,0.16319775265140535,-0.016688322132781507,-0.11320621277331837,-0.025179795101523017,0.008406300074282003,-0.004748433108040406
1966-09-15,0.18426618282020413,0.07004164744697207,-0.10856863807648243,-0.031683868505509305,0.0010111436932433993,-0.007546829158203594
1966-09-16,0.17675197446962498,0.04601766132674996,-0.10972803175069139,-0.02897898049725145,0.002995071035008623,-0.0030932310697874277
1966-09-19,0.2170696927600426,0.2006367876453517,-0.10045288235701949,-0.042403241833368854,-0.010683079617278879,-0.010725866799700556
1966-09-20,0.1804150531368923,0.08254160613511488,-0.1062498507280645,-0.03236997002543174,-0.0009232062710742284,0.0001618748707250539
1966-09-21,0.13866660976184733,-0.03954386820251912,-0.11320621277331837,-0.020556279391281906,0.0098376815399559,0.007786702567974535
1966-09-22,0.09922618684210235,-0.14356006944794986,-0.12016257481857225,-0.008753570017932755,0.019730883405917332,0.012036994432430115
1966-09-23,0.10965490766096395,-0.10076616089078087,-0.11784378747015432,-0.012123108680590522,0.0142926596243107,0.004730169497740633
1966-09-26,0.10965490766096395,-0.10076616089078101,-0.11784378747015432,-0.011667247643656675,0.012867596663697967,0.0016867271077214419
