Date,Open,High,Low,Close,Adj Close,Volume
2011-08-19,6.69875,7.2025,6.525,6.54625,6.543397,11972000
2011-08-22,7.00625,7.02125,6.55125,6.605,6.602122,9019200
2011-08-23,6.74625,7.4275,6.66875,7.4225,7.419266,11922400
2011-08-24,7.38375,7.64,7.185,7.5975,7.59419,8215200
2011-08-25,7.58125,7.68875,7.1525,7.2325,7.229349,6357600
2011-08-26,7.1675,7.84375,6.94625,7.755,7.751621,9267200
2011-08-29,8.0,8.44375,8.0,8.415,8.411334,9436000
2011-08-30,8.325,8.73625,8.1875,8.58625,8.582509,9539200
2011-08-31,8.745,8.94875,8.41125,8.63625,8.632486,10685600
2011-09-01,8.6925,8.89375,8.34375,8.3925,8.388844,8243200
2011-09-02,7.92,8.04375,7.67125,7.805,7.801599,6422400
2011-09-06,7.25375,7.83875,7.2,7.80375,7.80035,7085600
2011-09-07,8.1425,8.4,8.07625,8.39375,8.390093,6670400
2011-09-08,8.26,8.63,8.20375,8.2775,8.273893,8293600
2011-09-09,8.125,8.21375,7.5775,7.7325,7.729131,8652000
2011-09-12,7.4775,8.04,7.46125,8.0225,8.019005,9988000
2011-09-13,8.115,8.395,8.0025,8.33375,8.330118,11676800
2011-09-14,8.47875,8.9875,8.22,8.69375,8.689962,9734400
2011-09-15,8.995,9.13125,8.7225,9.08875,9.084789,9807200
2011-09-16,9.16,9.365,9.0975,9.32625,9.322186,10259200
2011-09-19,8.99625,9.49375,8.76,9.35,9.345927,10310400
2011-09-20,9.485,9.71125,9.15875,9.2175,9.213484,9964800
2011-09-21,9.36125,9.5025,8.74125,8.74875,8.744938,9768800
2011-09-22,8.08375,8.30375,7.5125,7.8975,7.894059,13977600
2011-09-23,7.69625,8.24375,7.68,8.14375,8.140202,10896000
2011-09-26,8.27,8.465,7.725,8.42,8.416331,10291200
2011-09-27,8.8625,9.075,8.5125,8.6775,8.673718,10792800
2011-09-28,8.8,8.97,8.24375,8.26875,8.265148,11216000
2011-09-29,8.68625,8.7075,7.595,8.02375,8.020254,14023200
2011-09-30,7.70625,7.8825,7.375,7.4,7.396776,11977600
2011-10-03,7.19,7.54,6.81,6.82,6.817029,17110400
2011-10-04,6.6075,7.27875,6.40625,7.235,7.231848,28720000
2011-10-05,7.185,7.85625,7.01875,7.785,7.781608,21690400
2011-10-06,7.775,8.185,7.66125,8.185,8.181434,19019200
2011-10-07,8.16125,8.28125,7.8625,8.01625,8.012757,12015200
2011-10-10,8.425,8.83875,8.39,8.83875,8.834898,9040000
2011-10-11,8.7775,9.09,8.735,9.0275,9.023567,8372800
2011-10-12,9.29625,9.46875,9.1425,9.1725,9.168504,10789600
2011-10-13,9.1175,9.45375,9.08625,9.41875,9.414646,7798400
2011-10-14,9.77625,9.9375,9.615,9.9375,9.93317,7978400
2011-10-17,9.79625,9.88875,9.32,9.4775,9.473371,45597600
2011-10-18,9.44375,9.98125,9.17125,9.82125,9.816971,11908000
2011-10-19,9.695,9.75875,9.16875,9.255,9.250968,10093600
2011-10-20,9.23375,9.28,8.73125,9.1375,9.133519,8465600
2011-10-21,9.41375,9.64,9.21375,9.4625,9.458377,7851200
2011-10-24,9.57375,10.13,9.5425,10.05375,10.049369,8223200
2011-10-25,9.94625,9.965,9.39875,9.48375,9.479618,8364800
2011-10-26,9.625,9.6825,8.9075,9.44625,9.442135,15987200
2011-10-27,10.105,10.375,9.81,10.2075,10.203053,13772000
2011-10-28,10.02,10.28125,10.02,10.24125,10.236789,5298400
2011-10-31,9.9675,10.09,9.71375,9.73375,9.729509,6582400
2011-11-01,9.03125,9.2375,8.82125,8.98,8.976087,16369600
2011-11-02,9.23875,9.31375,8.94875,9.20125,9.197241,10152000
2011-11-03,9.42625,9.80625,9.1,9.76125,9.756997,11898400
2011-11-04,9.6175,9.73875,9.32625,9.61,9.605813,6596800
2011-11-07,9.61125,9.8425,9.3125,9.82375,9.819469,9295200
2011-11-08,10.0325,10.21,9.70125,10.15125,10.146827,8579200
2011-11-09,9.56125,9.61125,9.0275,9.10125,9.097284,9256000
2011-11-10,9.3675,9.3875,8.8125,9.06375,9.059802,7414400
2011-11-11,9.32125,9.66625,9.27875,9.5725,9.56833,7147200
2011-11-14,9.51625,9.67,9.30125,9.41,9.4059,4713600
2011-11-15,9.33875,9.8325,9.3,9.7125,9.708268,9171200
2011-11-16,9.505,9.72625,9.1875,9.23375,9.229727,10087200
2011-11-17,9.1675,9.175,8.425,8.59875,8.595004,18580000
2011-11-18,8.5975,8.625,8.3475,8.3925,8.388844,9841600
2011-11-21,8.0675,8.08375,7.65875,7.905,7.901556,11348000
2011-11-22,7.83625,8.06125,7.71,7.97375,7.970276,13360800
2011-11-23,7.81,7.8325,7.4375,7.44375,7.440506,12928000
2011-11-25,7.3625,7.61125,7.275,7.275,7.27183,5148000
2011-11-28,7.8075,8.0625,7.8025,8.02625,8.022754,10948000
2011-11-29,8.00125,8.20125,7.82,7.88125,7.877816,9768000
2011-11-30,8.52625,8.77625,8.45375,8.74625,8.742439,10102400
2011-12-01,8.75625,9.00375,8.73375,8.93375,8.929858,7644800
2011-12-02,9.1975,9.20375,8.84,8.84875,8.844894,5378400
2011-12-05,9.27375,9.3325,9.0,9.13875,9.134768,7881600
2011-12-06,9.1825,9.25,8.9875,9.06875,9.064799,5834400
2011-12-07,9.0,9.2,8.7225,9.0825,9.078543,6420000
2011-12-08,8.9,9.105,8.56625,8.62,8.616243,10824800
2011-12-09,8.69625,9.10875,8.67375,9.02875,9.024817,8176800
2011-12-12,8.75,8.75875,8.5,8.7325,8.728695,8940800
2011-12-13,8.89875,9.00375,8.32875,8.4375,8.433824,9649600
2011-12-14,8.33625,8.3625,7.9025,8.045,8.041495,17080800
2011-12-15,8.2725,8.275,7.9425,7.9825,7.979022,12789600
2011-12-16,8.11375,8.425,8.06,8.0825,8.078979,11705600
2011-12-19,8.1925,8.245,7.7975,7.85875,7.855326,8304000
2011-12-20,8.23125,8.5825,8.23125,8.55625,8.552522,11154400
2011-12-21,8.41,8.41,7.9,8.2,8.196427,14321600
2011-12-22,8.2325,8.4125,8.21,8.4,8.396339,8372800
2011-12-23,8.4475,8.61875,8.39875,8.6175,8.613747,4621600
2011-12-27,8.585,8.775,8.55,8.68375,8.679967,5824000
2011-12-28,8.6625,8.69375,8.3225,8.405,8.401338,8345600
2011-12-29,8.42875,8.58875,8.3575,8.56875,8.565017,5643200
2011-12-30,8.51875,8.63,8.49375,8.49875,8.495047,4817600
2012-01-03,8.9775,9.1175,8.9225,8.9825,8.978586,8447200
2012-01-04,8.94,9.13375,8.825,9.09,9.08604,4987200
2012-01-05,9.04375,9.34375,8.9375,9.31375,9.309692,5783200
2012-01-06,9.33875,9.47875,9.22375,9.41,9.4059,8645600
2012-01-09,9.4875,9.5025,9.2375,9.33125,9.327185,6414400
2012-01-10,9.6325,9.7075,9.4575,9.5225,9.518351,6554400
2012-01-11,9.5225,9.65,9.42,9.58875,9.584572,5718400
2012-01-12,9.665,9.7375,9.44625,9.7025,9.698273,6430400
2012-01-13,9.5525,9.60375,9.34875,9.59125,9.587071,6464800
2012-01-17,9.86,9.97875,9.75,9.84875,9.844459,5376000
2012-01-18,9.92,10.25,9.86375,10.24,10.235538,8909600
2012-01-19,10.385,10.49625,10.33875,10.445,10.440449,9449600
2012-01-20,10.305,10.4075,10.28625,10.39875,10.394219,3340800
2012-01-23,10.39625,10.6225,10.225,10.3975,10.392969,5736000
2012-01-24,10.265,10.42875,10.20875,10.34,10.335494,3983200
2012-01-25,10.66625,10.8125,10.42875,10.735,10.730322,8438400
2012-01-26,10.8725,10.93125,10.47125,10.62125,10.616622,7795200
2012-01-27,10.56,10.7725,10.5425,10.72625,10.721577,7035200
2012-01-30,10.4525,10.7875,10.33,10.74375,10.739069,7028000
2012-01-31,10.8975,10.96125,10.58125,10.78125,10.776552,8258400
2012-02-01,10.96625,11.16625,10.8625,11.04625,11.041437,7322400
2012-02-02,11.155,11.26,11.0225,11.16,11.155137,6049600
2012-02-03,11.46875,11.64375,11.40875,11.60375,11.598695,6460000
2012-02-06,11.4725,11.59375,11.3925,11.5925,11.587448,5451200
2012-02-07,11.5625,11.7225,11.405,11.6425,11.637427,5424000
2012-02-08,11.66,11.83625,11.53375,11.83625,11.831094,6453600
2012-02-09,11.965,12.1375,11.76375,12.09875,12.093478,6356000
2012-02-10,11.8425,11.94,11.7175,11.84,11.834841,8116800
2012-02-13,12.105,12.21375,11.95125,12.15875,12.153452,6633600
2012-02-14,12.09,12.265,11.9675,12.265,12.259657,7244800
2012-02-15,12.44125,12.64125,11.95125,11.99125,11.986025,15994400
2012-02-16,12.0275,12.5425,11.92875,12.4925,12.487058,10511200
2012-02-17,12.50375,12.53375,12.225,12.38625,12.380853,6747200
2012-02-21,12.43375,12.65,12.255,12.49125,12.485807,6848800
2012-02-22,12.415,12.52375,12.26625,12.32625,12.320879,5224000
2012-02-23,12.36875,12.59875,12.1875,12.56,12.554528,8756000
2012-02-24,12.665,12.75625,12.5975,12.6825,12.676974,5607200
2012-02-27,12.465,12.865,12.31875,12.74375,12.738197,7700800
2012-02-28,12.77,13.125,12.73125,13.125,13.119282,7999200
2012-02-29,13.165,13.2875,12.8325,12.9525,12.946857,11087200
2012-03-01,13.10375,13.29875,12.98875,13.2675,13.26172,9776800
2012-03-02,13.2225,13.36,13.1075,13.2275,13.221737,6927200
2012-03-05,13.21375,13.25625,12.6925,12.815,12.809416,10185600
2012-03-06,12.455,12.525,12.2425,12.4475,12.442077,8981600
2012-03-07,12.62,12.8125,12.565,12.73,12.724453,7801600
2012-03-08,12.94625,13.25,12.875,13.13375,13.128028,5198400
2012-03-09,13.21125,13.37375,13.18,13.2925,13.286708,6456000
2012-03-12,13.27625,13.36125,13.12125,13.31375,13.30795,6312800
2012-03-13,13.5475,14.06625,13.45875,14.06375,14.057622,7977600
2012-03-14,14.105,14.36875,13.955,14.22125,14.215054,10127200
2012-03-15,14.33875,14.41875,14.12875,14.33,14.323756,8200800
2012-03-16,14.4,14.4025,14.20375,14.29875,14.29252,5762400
2012-03-19,14.37,14.70625,14.26875,14.61,14.603634,7998400
2012-03-20,14.38625,14.73625,14.2675,14.69,14.683599,7683200
2012-03-21,14.70375,14.9325,14.63125,14.685,14.678602,6524000
2012-03-22,14.42375,14.69875,14.415,14.59625,14.58989,8884000
2012-03-23,14.65375,14.66375,14.325,14.57625,14.5699,6562400
2012-03-26,14.8475,15.3375,14.83125,15.3375,15.330817,6606400
2012-03-27,15.35375,15.59,15.3475,15.39625,15.389543,7468800
2012-03-28,15.425,15.60125,14.945,15.21625,15.20962,7932000
2012-03-29,15.00125,15.21125,14.72125,15.06,15.053438,7179200
2012-03-30,15.25,15.2675,14.77625,14.955,14.948484,5268800
2012-04-02,14.91375,15.48,14.8375,15.41125,15.404535,5227200
2012-04-03,15.47875,15.62125,15.14875,15.4125,15.405786,6979200
2012-04-04,15.05125,15.085,14.51875,14.78375,14.777308,8548000
2012-04-05,14.7025,15.09125,14.665,15.05375,15.047191,6444000
2012-04-09,14.48125,14.895,14.41375,14.7075,14.701093,5996000
2012-04-10,14.68,14.86,13.8625,13.9975,13.991402,12226400
2012-04-11,14.385,14.48125,14.09625,14.2,14.193813,7033600
2012-04-12,14.28375,14.735,14.23125,14.67625,14.669855,7428800
2012-04-13,14.52875,14.54125,14.00125,14.0125,14.006394,7638400
2012-04-16,14.24625,14.25375,13.425,13.57125,13.565337,8353600
2012-04-17,13.74,14.50125,13.665,14.37125,14.364988,7885600
2012-04-18,14.2425,14.51375,14.135,14.26625,14.260034,5345600
2012-04-19,14.11625,14.625,13.63125,13.805,13.798985,8300000
2012-04-20,14.005,14.1925,13.60875,13.65625,13.6503,7126400
2012-04-23,13.305,13.35625,12.93125,13.3125,13.3067,5839200
2012-04-24,13.22875,13.38375,12.91375,13.0775,13.071803,5404000
2012-04-25,13.89,14.1425,13.8275,14.11625,14.1101,6350400
2012-04-26,14.09625,14.46625,14.0625,14.36875,14.362489,5936800
2012-04-27,14.545,14.76625,14.32125,14.615,14.608632,4372000
2012-04-30,14.485,14.57875,14.28,14.31125,14.305014,4007200
2012-05-01,14.2325,14.86125,14.21375,14.3925,14.38623,4361600
2012-05-02,14.16,14.54,14.07875,14.4875,14.481188,3216000
2012-05-03,14.5375,14.56625,13.9375,14.0375,14.031384,4189600
2012-05-04,13.65375,13.71875,13.0,13.0075,13.001832,7590400
2012-05-07,12.76,13.21625,12.74625,13.02625,13.020575,8793600
2012-05-08,12.77625,13.015,12.25625,12.8825,12.876886,11520000
2012-05-09,12.44375,12.97375,12.27625,12.81125,12.805667,11230400
2012-05-10,12.93875,12.95,12.54,12.68,12.674475,16922400
2012-05-11,12.5275,13.0825,12.5225,12.6675,12.661981,4007200
2012-05-14,12.3625,12.6175,12.2675,12.3175,12.312134,6850000
2012-05-15,12.4575,12.725,12.14,12.21,12.20468,6303200
2012-05-16,12.34,12.44,11.8825,11.945,11.939795,6191600
2012-05-17,11.965,12.0175,11.205,11.21,11.205115,10860000
2012-05-18,11.315,11.39,10.7325,10.76,10.755312,11746800
2012-05-21,10.8225,11.6925,10.7875,11.665,11.659918,8600400
2012-05-22,11.7525,11.9075,11.365,11.6225,11.617436,8051600
2012-05-23,11.335,11.7775,11.0325,11.6875,11.682407,6748000
2012-05-24,11.75,11.7775,11.2,11.4775,11.4725,6450000
2012-05-25,11.4975,11.5525,11.3125,11.4125,11.407528,2604000
2012-05-29,11.7375,12.01,11.5375,11.8375,11.832342,5890000
2012-05-30,11.525,11.675,11.3325,11.55,11.544969,5192400
2012-05-31,11.51,11.595,11.1375,11.385,11.38004,6920000
2012-06-01,10.795,10.99,10.48,10.49,10.48543,9347600
2012-06-04,10.5825,10.775,10.2975,10.715,10.710332,9514400
2012-06-05,10.6175,10.92,10.6025,10.8625,10.857768,8186800
2012-06-06,11.115,11.63,11.075,11.605,11.599943,7155200
2012-06-07,11.9525,11.965,11.435,11.475,11.47,7142000
2012-06-08,11.4025,11.845,11.295,11.8125,11.807353,5266000
2012-06-11,12.0575,12.09,11.1825,11.2475,11.242599,7574800
2012-06-12,11.34,11.6225,11.1375,11.6025,11.597445,5624800
2012-06-13,11.5125,11.7725,11.2475,11.375,11.370045,4041600
2012-06-14,11.3625,11.625,11.1825,11.5025,11.497488,5475600
2012-06-15,11.5825,11.9675,11.575,11.9275,11.922303,7031600
2012-06-18,11.795,12.3425,11.7225,12.235,12.229669,7361200
2012-06-19,12.44,12.79,12.4225,12.6375,12.631994,6771600
2012-06-20,12.7075,12.8275,12.3775,12.6825,12.676974,8101200
